["3", "20"]	[246.1251345895555, 571.14268816823426]
["3", "21"]	[186.05366916854544, 508.15731458796841]
["3", "22"]	[187.58553077660389, 444.56386281080285]
["3", "23"]	[169.04427326453066, 371.98150919923233]
["3", "24"]	[175.5609691957423, 337.25741697716933]
["3", "25"]	[168.25509726299956, 289.55882260179953]
["3", "26"]	[179.20477219424794, 283.49369425413295]
["3", "27"]	[161.37130345650323, 289.05793151835235]
["3", "28"]	[179.53952745327595, 325.46214737401471]
["3", "29"]	[176.87295377210583, 337.52441621518079]
["3", "30"]	[182.32177102617626, 360.61294779098915]
["3", "31"]	[184.43315584054429, 327.79520744752682]
["3", "32"]	[181.29898765129505, 306.93195087511634]
["3", "33"]	[164.70961055023338, 352.42053215580626]
["3", "34"]	[157.76827483357144, 338.04280373510068]
["3", "35"]	[147.26759096096544, 312.39263881018439]
["3", "36"]	[123.33268707350916, 305.64451659109466]
["3", "37"]	[131.78292995187724, 321.95313765290052]
["3", "38"]	[132.08671033554609, 316.41989000343909]
["3", "39"]	[136.13279093401317, 267.00330270526172]
["3", "40"]	[154.16042688798339, 140.83193773585677]
["3", "41"]	[172.07642410936097, 102.35148827774636]
["3", "42"]	[187.93901333681256, 107.89021200672667]
["3", "43"]	[217.43476744243, 121.73467845228255]
["3", "44"]	[224.39507377580458, 147.19692967769026]
["3", "45"]	[263.08346470009212, 217.76466691845658]
["3", "46"]	[273.04486463669804, 253.22165717415464]
["3", "47"]	[275.31429221131845, 220.85889206647499]
["3", "48"]	[254.79139815615096, 233.52621306745851]
["4", "01"]	[304.96620089585491, 183.70098745204433]
["4", "02"]	[295.72789693195591, 125.10088069500674]
["4", "03"]	[268.37626026939716, 146.99944906398173]
["4", "04"]	[281.0104698205447, 153.30181278447756]
["4", "05"]	[257.22922887582712, 125.30022022886934]
["4", "06"]	[250.22369433132516, 94.796702454399167]
["4", "07"]	[279.33688401194837, 82.678859803059012]
["4", "08"]	[257.37838390129286, 98.69796329262131]
["4", "09"]	[251.57644620515913, 90.613243325752691]
["4", "10"]	[254.01931801936644, 104.45884084451805]
["4", "11"]	[204.06197554713, 137.48640524050379]
["4", "12"]	[162.84644341198975, 159.4577169949896]
["4", "13"]	[180.91380037429971, 146.5953525275732]
["4", "14"]	[166.24570152826382, 158.35253173322886]
["4", "15"]	[174.77315571573746, 139.44294123515402]
["4", "16"]	[174.38533497823704, 113.22559479684344]
["4", "17"]	[188.08214698698231, 117.04728786441386]
["4", "18"]	[206.55257891625286, 93.45346079356645]
["4", "19"]	[215.21603636950346, 76.445326852038164]
["4", "20"]	[225.92798926946455, 54.18352406336539]
["4", "21"]	[183.55255806185829, 43.077883538372966]
["4", "22"]	[183.40222853914179, 35.470443238297193]
["4", "23"]	[169.31435841914114, 77.91490251104473]
["4", "24"]	[182.2721631791465, 78.549727902803909]
["4", "25"]	[157.68695694221572, 74.023918365565578]
["4", "26"]	[171.86697378804436, 98.602180388095107]
["4", "27"]	[160.8253807477536, 97.040831672172601]
["4", "28"]	[181.6711705859818, 102.74193062105454]
["4", "29"]	[153.1145272873917, 132.14106148168065]
["4", "30"]	[163.35956453666878, 149.39089082928186]
["4", "31"]	[151.69861398632665, 159.9159593885675]
["4", "32"]	[163.23099243792186, 115.17955757155086]
["4", "33"]	[162.26525023279396, 90.932783407109312]
["4", "34"]	[149.79937362628093, 92.708319381528312]
["4", "35"]	[99.739208292580727, 213.46346777453491]
["4", "36"]	[104.67618707177931, 252.99752610263158]
["4", "37"]	[103.89519314103291, 322.02743358478398]
["4", "38"]	[101.49575691995297, 380.62317465557766]
["4", "39"]	[121.02264461540184, 299.9897464158787]
["4", "40"]	[127.03608635769901, 220.78519869749147]
["4", "41"]	[145.5029507223372, 141.11603500498057]
["4", "42"]	[160.37861714911537, 87.4273320385566]
["4", "43"]	[221.20686292962816, -30.745695298960779]
["4", "44"]	[226.95126509542106, 265.13789889450658]
["4", "45"]	[234.05701515050407, 454.41952971279369]
["4", "46"]	[246.53804913011444, -29.904653714687829]
["4", "47"]	[234.66271259856671, 196.91400439737774]
["4", "48"]	[194.31359308566738, 279.26742678721911]
["5", "01"]	[231.59747151064613, 394.42805241103764]
["5", "02"]	[243.39018490262109, 255.17500200368036]
["5", "03"]	[236.82632945266698, 200.49190419309457]
["5", "04"]	[244.78387006372964, 164.29807195403663]
["5", "05"]	[220.63580979638672, 193.59645281928672]
["5", "06"]	[192.90381573760749, 209.13142602646093]
["5", "07"]	[197.48477814138965, 205.91540732764349]
["5", "08"]	[204.60944870953873, 171.43936306443118]
["5", "09"]	[199.53583304609668, 187.87977045444242]
["5", "10"]	[187.31530023898483, 182.08783230186714]
["5", "11"]	[190.14743076696647, 194.45925148643636]
["5", "12"]	[178.70478868959432, 217.4713854771903]
["5", "13"]	[194.42647690256371, 122.7408794240631]
["5", "14"]	[196.97055901245142, 154.10296497308352]
["5", "15"]	[200.1633417915256, 154.43324758477669]
["5", "16"]	[222.63299189143504, 176.54902383634393]
["5", "17"]	[180.44804090971584, 161.04569188840884]
["5", "18"]	[204.53672029218617, 173.73875359405702]
["5", "19"]	[188.43050196868893, 135.93401057468859]
["5", "20"]	[200.0811524330573, 140.9959168085507]
["5", "21"]	[141.26421566680017, 110.21872197764206]
["5", "22"]	[169.76101763643112, 281.82354987920729]
["5", "23"]	[167.45679775892745, 272.79251581945573]
["5", "24"]	[169.3203190505188, 103.9194336248984]
["5", "25"]	[179.63079247099068, 47.944523145671511]
["5", "26"]	[194.54177919934497, 42.196728389289589]
["5", "27"]	[194.3710169250671, 45.247843460653499]
["5", "28"]	[204.87814238159194, 38.40481758375212]
["5", "29"]	[186.6807002830202, 36.961668322583996]
["5", "30"]	[189.87248612939285, 51.885651622100028]
["5", "31"]	[179.25392561712817, 52.488929562590499]
["5", "32"]	[182.98334184622533, 69.253731107096229]
["5", "33"]	[154.7161449133597, 62.186473285783137]
["5", "34"]	[147.04119289857292, 3.0871254898256315]
["5", "35"]	[126.71262444017981, -65.905078370243785]
["5", "36"]	[115.5574409918713, -91.366835877953562]
["5", "37"]	[142.35010066506888, -78.731485500033571]
["5", "38"]	[142.88067969332229, -75.256294725237723]
["5", "39"]	[140.8850077029538, -36.415319057492816]
["5", "40"]	[152.1229872514815, -50.515554232117154]
["5", "41"]	[226.63754118139337, -39.494457334044782]
["5", "42"]	[225.34768711579591, 20.313622694808686]
["5", "43"]	[280.86216431743816, 30.580484626586376]
["5", "44"]	[268.18510313709265, -223.75240542448108]
["5", "45"]	[307.05493759058999, -388.82017146562652]
["5", "46"]	[313.52706721090391, 113.98843684741367]
["5", "47"]	[348.01333003797902, 206.02614816277773]
["5", "48"]	[364.23015225508641, 217.68785019983304]
["6", "01"]	[240.63912509213145, 172.19607987346123]
["6", "02"]	[236.09174342896162, 254.9009670849087]
["6", "03"]	[196.85848510126036, 244.26534241809594]
["6", "04"]	[194.48362278488926, 218.14210229308009]
["6", "05"]	[172.42508305458375, 193.8940862520179]
["6", "06"]	[172.37749670602261, 161.43798183736845]
["6", "07"]	[159.53298201376006, 152.61700135569978]
["6", "08"]	[142.01702343788622, 152.67714633086646]
["6", "09"]	[160.68888861698522, 148.74007197181183]
["6", "10"]	[155.3611943392506, 144.61977488534882]
["6", "11"]	[144.20451912624, 100.63489774045124]
["6", "12"]	[138.89231498956676, 41.424722418763977]
["6", "13"]	[238.71350377662736, -33.475656619680848]
["6", "14"]	[237.32788928964604, 23.972662891699503]
["6", "15"]	[239.54798717140713, 103.40790588891571]
["6", "16"]	[275.81749054996612, 106.59470929334074]
["6", "17"]	[217.18318320466619, 150.28602410188492]
["6", "18"]	[241.81585354397782, 156.69602933696993]
["6", "19"]	[207.47086954217411, 181.72392104298783]
["6", "20"]	[247.16307308778934, 179.68983451490712]
["6", "21"]	[207.93593481387458, 219.66263376191964]
["6", "22"]	[221.48765035000605, 165.52235041133807]
["6", "23"]	[166.97822389507616, 59.425342090094041]
["6", "24"]	[196.39040322010823, 94.070507021590842]
["6", "25"]	[159.02235305823632, 137.94304187216278]
["6", "26"]	[166.91246139824051, 195.85953272282293]
["6", "27"]	[173.29968478854803, 106.66543141021388]
["6", "28"]	[192.00315944415584, 87.033900522188631]
["6", "29"]	[166.16815756702809, 102.32717577680255]
["6", "30"]	[168.03018052492052, 52.870450143568931]
["6", "31"]	[164.2952432732184, 1.1904363832426508]
["6", "32"]	[174.0385753225263, -237.95772333463552]
["6", "33"]	[161.08992147313194, -589.29411949005294]
["6", "34"]	[141.95645469237834, -663.93973201132326]
["6", "35"]	[90.515673802947802, -459.78534468968309]
["6", "36"]	[75.761768446574706, -461.5482744200151]
["6", "37"]	[97.441679957934767, -409.27098149075681]
["6", "38"]	[111.43658897138116, -372.86426383456853]
["6", "39"]	[128.10980595864015, -323.63706883205617]
["6", "40"]	[126.3587332164587, -374.54662111421896]
["6", "41"]	[157.52792757901707, -434.69503633629211]
["6", "42"]	[151.59876645805556, -642.51721502974658]
["6", "43"]	[168.54333255164167, -616.58564749773961]
["6", "44"]	[202.8141278707578, -591.21854883541471]
["6", "45"]	[234.51973440430774, -475.95631049027509]
["6", "46"]	[228.35463808507663, -238.41659871170879]
["6", "47"]	[234.93760425161318, 0.92705766351931762]
["6", "48"]	[237.20939108846005, 153.40819003068481]
["7", "01"]	[195.11696043743271, 224.06132362109577]
["7", "02"]	[172.21803403091599, 285.16956717394078]
["7", "03"]	[196.94526286008144, 298.81507214205374]
["7", "04"]	[200.95573231041914, 254.22729827892584]
["7", "05"]	[174.3395848703957, 182.19478198196177]
["7", "06"]	[181.66662315106862, 98.61116123271772]
["7", "07"]	[221.52427084579463, 1.8458099432301847]
["7", "08"]	[229.22587646265774, -107.34138242045519]
["7", "09"]	[211.06990851476479, -261.23528924992763]
["7", "10"]	[204.41822939143839, -476.21692437938174]
["7", "11"]	[172.3138288919196, -948.69002350216772]
["7", "12"]	[193.058163145892, -1677.9558273699072]
["7", "13"]	[264.496703228397, -2805.4438514410867]
["7", "14"]	[275.90434304931512, -3283.0445557896523]
["7", "15"]	[244.09622166955273, -3788.9603846293462]
["7", "16"]	[301.25598796259459, -4230.9080645999711]
["7", "17"]	[264.48808426240396, -4522.3283909461488]
["7", "18"]	[269.64767937137867, -4687.0806009158759]
["7", "19"]	[213.38519844095396, -4700.6897526058674]
["7", "20"]	[223.70459048176684, -4827.1572414968196]
["7", "21"]	[199.05780386417885, -5027.8730524454313]
["7", "22"]	[203.59407409067688, -5187.278841984411]
["7", "23"]	[197.54107378375059, -5228.2554358766884]
["7", "24"]	[201.10521677186895, -5204.1061847448482]
["7", "25"]	[165.829885289798, -4981.6226459536747]
["7", "26"]	[152.13858344127433, -4860.1204974498369]
["7", "27"]	[193.50146816616524, -5453.2198392312093]
["7", "28"]	[211.209597525036, -6058.261737750182]
["7", "29"]	[165.70144394427888, -6462.3879128049257]
["7", "30"]	[161.96052451174393, -6644.9196109270997]
["7", "31"]	[170.55050216149067, -6636.585703802607]
["7", "32"]	[156.55821770200583, -6594.5835595730923]
["7", "33"]	[132.20811605316081, -6221.739712472815]
["7", "34"]	[127.37684977343969, -5651.7144850495488]
["7", "35"]	[116.21325220729651, -4538.554235752501]
["7", "36"]	[112.49765903640115, -3349.408023636634]
["7", "37"]	[117.21306886173998, -1581.4051299713794]
["7", "38"]	[92.051818782621694, -956.85146537848777]
["7", "39"]	[111.99868339004182, -710.50752118150365]
["7", "40"]	[133.38890866883335, -581.79604139165463]
["7", "41"]	[172.07127711306546, -769.90975606864993]
["7", "42"]	[185.99388082911773, -1239.6574947735683]
["7", "43"]	[222.22218061733165, -1931.7043921788845]
["7", "44"]	[248.04828284401179, -2571.5955509883224]
["7", "45"]	[275.38109858900651, -2841.4815939375217]
["7", "46"]	[236.21364716254681, -3042.9919461830632]
["7", "47"]	[235.91705116315006, -3008.2585381860181]
["7", "48"]	[261.87916013623567, -2804.5629334851574]
